date,valid_area_km2,water_area_km2
1987-01-01,9263.293270888506,3193.952285203907
1987-02-01,0.25076063737553617,0.0
1987-03-01,9069.530943922704,3187.9928893352926
1987-04-01,0.0,0.0
1987-05-01,0.0,0.0
1987-06-01,0.0,0.0
1987-07-01,0.0,0.0
1987-08-01,0.0,0.0
1987-09-01,0.0,0.0
1987-10-01,9346.240335414957,3099.723893758182
1987-11-01,9112.067093171063,3047.5756098482398
1987-12-01,0.0,0.0
1988-01-01,8360.769349867132,2926.5848744066534
1988-02-01,6529.452504345274,2598.463147405323
1988-03-01,6431.515134477268,2824.6470506726564
1988-04-01,8203.829340875598,2940.7319024599683
1988-05-01,9256.113612368106,3175.425718534747
1988-06-01,6212.74966770196,2595.0271920442456
1988-07-01,9113.092468970595,3164.624836526522
1988-08-01,9166.42355137661,3161.8748099177287
1988-09-01,9338.186610497536,3111.494443178585
1988-10-01,9303.287425445946,3061.382528674557
1988-11-01,8276.455943164492,2993.5822517302204
1988-12-01,8646.610462666782,2964.9923011988762
1989-01-01,8385.968436875242,2637.728206801556
1989-02-01,8637.318611041801,2837.3577224789997
1989-03-01,7983.009989180512,2713.3566197900304
1989-04-01,9301.534759081638,3008.618168771309
1989-05-01,8947.671905191808,2897.07224258258
1989-06-01,9195.906984803902,2982.7525170606987
1989-07-01,9140.468674961028,2956.029168607872
1989-08-01,9109.038875047008,2939.5515534509823
1989-09-01,9234.05036809569,2941.8725502962416
1989-10-01,9189.31517518541,2877.760118370285
1989-11-01,9361.565365549868,2821.7878594852004
1989-12-01,9345.484778597685,2742.3439808718263
1990-01-01,5696.559453281457,1838.3948695044198
1990-02-01,8857.721587853102,2707.088170233548
1990-03-01,64.4276032615728,0.0
1990-04-01,9208.057803929345,2703.6232345846306
1990-05-01,8535.22524051618,2466.457320225586
1990-06-01,0.0,0.0
1990-07-01,8802.061242431037,2683.39335527713
1990-08-01,0.14824592869920922,0.0
1990-09-01,9141.664403328572,2638.0251083864573
1990-10-01,8846.85969789694,2589.4973190094456
1990-11-01,9265.035558929127,2565.047436632385
1990-12-01,18.26338245941682,0.0
1991-01-01,7527.852018396301,2576.9625623095912
1991-02-01,8611.899714180847,2443.93951160672
1991-03-01,9011.730381165591,2537.5554923837285
1991-04-01,8758.173205748748,2456.5548148426
1991-05-01,9115.112273340816,2510.295499230308
1991-06-01,9107.965027739543,2498.434725102642
1991-07-01,9045.809075741952,2475.885481542963
1991-08-01,8970.995449062057,2440.703662230122
1991-09-01,9158.103344756139,2411.4213976697997
1991-10-01,9209.390220787052,2356.378032413513
1991-11-01,9243.764971152641,2325.471776293518
1991-12-01,8709.71846172798,2256.9924623878173
1992-01-01,8937.819387917714,2300.4569261657257
1992-02-01,0.0,0.0
1992-03-01,8858.57406309719,2213.721469799488
1992-04-01,8927.649703189003,2141.9180184474485
1992-05-01,58.05769507573177,0.0
1992-06-01,39.51703765528345,0.0
1992-07-01,8622.66538000055,2049.1926869250096
1992-08-01,8560.357836116827,1996.8118076069336
1992-09-01,8895.048546425887,1963.8307562803345
1992-10-01,8449.45968099912,1814.0780119824828
1992-11-01,9026.527906607853,1769.005124029419
1992-12-01,6155.024995638635,1232.5962255439454
