date,valid_area_km2,water_area_km2
1985-01-01,7639.742917077457,2240.6847696701516
1985-02-01,0.0,0.0
1985-03-01,5639.504067510737,1686.8221286531202
1985-04-01,0.0,0.0
1985-05-01,0.0,0.0
1985-06-01,0.0,0.0
1985-07-01,0.0,0.0
1985-08-01,9079.215794723841,2665.071133069545
1985-09-01,0.0,0.0
1985-10-01,0.0,0.0
1985-11-01,0.0,0.0
1985-12-01,0.0,0.0
1986-01-01,0.0,0.0
1986-02-01,3596.467363990419,1846.6040259210743
1986-03-01,0.0,0.0
1986-04-01,9310.405082852794,3054.2665380691597
1986-05-01,9142.679875686423,3131.461010442021
1986-06-01,7.85828689300489,0.0
1986-07-01,9139.289881779307,3208.780710460162
1986-08-01,9033.222525930398,3213.227637959705
1986-09-01,9164.204553484851,3206.1788442282486
1986-10-01,9358.174586463361,3189.882028370015
1986-11-01,9407.521232023733,3144.0376766407394
1986-12-01,8643.824614141347,3135.0062543506156
