year,t2m_C,anom_vs_1940_1979,anom_vs_preindustrial,smoothed
1940,8.146778073047892,0.2663592331685454,0.6263592331685454,0.15106423351769838
1941,7.821481744007485,-0.0589370958718618,0.3010629041281382,0.19842406952017178
1942,6.752515377301573,-1.1279034625777742,-0.7679034625777742,0.2452219991999849
1943,7.115871847125599,-0.7645469927537478,-0.40454699275374784,0.25270361734130675
1944,8.520768325502678,0.6403494856233305,1.0003494856233304,0.3051773647329489
1945,7.955642089411886,0.0752232495325389,0.4352232495325389,0.27092079940294367
1946,8.04642841715821,0.16600957727886367,0.5260095772788637,0.1663674131568396
1947,7.825493784209907,-0.0549250556694405,0.3050749443305595,0.10940402919821883
1948,8.245386183745433,0.36496734386608587,0.7249673438660859,0.2003167590427652
1949,7.483030551312244,-0.39738828856710295,-0.03738828856710297,0.2969261811049583
1950,7.101244210586851,-0.7791746292924957,-0.4191746292924957,0.17569811152680476
1951,7.251847904421278,-0.6285709354580691,-0.2685709354580691,0.12839105626957945
1952,7.661642675747037,-0.2187761641323105,0.1412238358676895,0.010417595652007106
1953,8.08196606774753,0.2015472278681827,0.5615472278681827,0.010464693303105333
1954,7.308487629721142,-0.5719312101582048,-0.21193121015820482,-0.005261415931811508
1955,7.482571536839633,-0.39784730303971383,-0.03784730303971384,0.04258403923918632
1956,6.866693810982487,-1.01372502889686,-0.65372502889686,0.10077267552292526
1957,7.825964760720889,-0.054454079158458235,0.30554592084154175,0.22319597833027133
1958,8.088125091396265,0.20770625151691746,0.5677062515169174,0.21571863193049695
1959,7.9614851030222225,0.08106626314287535,0.44106626314287534,0.19558884450171807
1960,7.683130573424241,-0.19728826645510633,0.16271173354489366,0.2346999360727556
1961,8.476080932494739,0.5956620926153917,0.9556620926153917,0.24770258563125322
1962,7.586869211749293,-0.29354962813005425,0.06645037186994573,0.3736381734253523
1963,7.880668193459741,0.00024935358039357425,0.36024935358039356,0.4001670709144739
1964,7.699598545431518,-0.18082029444782943,0.17917970555217055,0.3333772375051843
1965,7.61259803242461,-0.26782080745473724,0.09217919254526274,0.4031689638983897
1966,8.126049688923478,0.24563084904413124,0.6056308490441312,0.44744606465182485
1967,8.091253735612105,0.2108348957327575,0.5708348957327575,0.3635096061226302
1968,7.420226757303368,-0.4601920825759791,-0.10019208257597911,0.4435859940414755
1969,8.659402366954277,0.7789835270749297,1.1389835270749296,0.5286474345051919
1970,8.125901580958592,0.24548274107924506,0.605482741079245,0.5271460249064537
1971,7.636716347202793,-0.24370249267655453,0.11629750732344546,0.5779954727356501
1972,8.387633090937745,0.5072142510583983,0.8672142510583983,0.5549448227802746
1973,8.731282598096906,0.8508637582175584,1.2108637582175583,0.6273866388909524
1974,7.684584449444135,-0.19583439043521178,0.1641656095647882,0.7176499364299269
1975,8.121092510716574,0.2406736708372268,0.6006736708372268,0.7233261974594789
1976,7.8955431893697225,0.015124349490375444,0.37512434949037543,0.8373069167385507
1977,8.815671896718882,0.9352530568395352,1.295253056839535,0.9309245326727982
1978,8.322859732693113,0.44244089281376553,0.8024408928137655,0.9680985927419037
1979,8.716164977249798,0.8357461373704513,1.1957461373704512,1.0748387227951628
1980,9.26570877374931,1.385289933869963,1.7452899338699628,1.1350296394045465
1981,8.572892506545267,0.6924736666659204,1.0524736666659202,1.1489305735061202
1982,8.7593736916288,0.8789548517494534,1.2389548517494533,1.196323178194866
1983,9.798683898629497,1.9182650587501495,2.2782650587501494,1.216173541080567
1984,8.286493615537973,0.4060747756586256,0.7660747756586256,1.3114412695313735
1985,8.26010185173231,0.37968301185296305,0.739683011852963,1.333775023852809
1986,8.369469236257183,0.4890503963778361,0.8490503963778361,1.2982759854745898
1987,9.014175525575888,1.1337566856965413,1.4937566856965412,1.365653301641035
1988,9.275537017201179,1.395118177321832,1.7551181773218318,1.364938180591962
1989,8.939502520464155,1.0590836805848074,1.4190836805848073,1.2717077603605662
1990,8.910718389967116,1.0302995500877685,1.3902995500877684,1.3929180758027488
1991,9.24666566820972,1.3662468283303735,1.7262468283303734,1.5433156208801833
1992,8.752222481138071,0.8718036412587242,1.231803641258724,1.6158744764542696
1993,8.866379696315539,0.9859608564361917,1.3459608564361916,1.6426236362290065
1994,9.498596769959798,1.618177930080451,1.978177930080451,1.7514167912823342
1995,9.764077302506655,1.8836584626273076,2.2436584626273075,1.7635316727187036
1996,9.095057791998045,1.2146389521186975,1.5746389521186974,1.7884924782978344
1997,9.28166712332326,1.4012482834439126,1.7612482834439125,1.778328116611593
1998,10.363468567734458,2.4830497278551107,2.8430497278551106,1.8735389478973326
1999,9.060651334827847,1.1802324949485001,1.5402324949485,1.959708035299307
2000,9.160326445758423,1.2799076058790764,1.6399076058790762,1.9739287214056993
2001,9.145022051347306,1.2646032114679588,1.6246032114679587,1.9462030373228418
2002,9.704330793995467,1.8239119541161202,2.18391195411612,2.003377069477515
2003,9.728070570335285,1.8476517304559383,2.207651730455938,2.075836841275615
2004,9.64080363102372,1.7603847911443733,2.120384791144373,1.974975980269487
2005,9.486820461678079,1.6064016217987316,1.9664016217987315,2.0287767247492487
2006,9.666798113544772,1.7863792736654247,2.1463792736654246,2.1646236888971147
2007,10.006264841304267,2.12584600142492,2.4858460014249197,2.2195182158841975
2008,9.354859957673176,1.4744411177938286,1.8344411177938285,2.210838124561601
2009,9.598658779625467,1.7182399397461197,2.0782399397461195,2.204725335454233
2010,10.518796087237078,2.638377247357731,2.998377247357731,2.244781978676959
2011,9.693967321218139,1.8135484813387919,2.1735484813387917,2.2932099015516294
2012,9.617529880769496,1.7371110408901487,2.0971110408901485,2.3892093571641944
2013,9.66694267926161,1.7865238393822622,2.146523839382262,2.3977499409005363
2014,10.04137006325098,2.160951223371633,2.520951223371633,2.4416968659984746
2015,9.971099690424785,2.0906808505454375,2.4506808505454374,2.51148087519348
2016,10.626792669670422,2.746373829791075,3.106373829791075,2.5017992756057077
2017,10.091670678667683,2.2112518387883355,2.5712518387883354,2.522929956465301
2018,9.794329208652561,1.9139103687732142,2.273910368773214,2.500581285314584
2019,10.296498871575517,2.41608003169617,2.77608003169617,2.5991052902984495
