valid_time,number,expver,pev,pev_mm
1950-01-01,0,0001,-0.005377881886151729,166.7143384707036
1950-02-01,0,0001,-0.005020411860661915,140.57153209853362
1950-03-01,0,0001,-0.0046277276530909016,143.45955724581793
1950-04-01,0,0001,-0.004300912330491923,129.02736991475768
1950-05-01,0,0001,-0.003623566395649332,112.33055826512928
1950-06-01,0,0001,-0.0029923287239086403,89.7698617172592
1950-07-01,0,0001,-0.003133552375732707,97.14012364771392
1950-08-01,0,0001,-0.0038871434106739987,120.50144573089395
1950-09-01,0,0001,-0.005069468052652419,152.08404157957256
1950-10-01,0,0001,-0.005383043948634822,166.8743624076795
1950-11-01,0,0001,-0.005307147399065658,159.21442197196976
1950-12-01,0,0001,-0.0053217235568063966,164.97343026099827
1951-01-01,0,0001,-0.005405982880559943,167.58546929735823
1951-02-01,0,0001,-0.004356237667692339,121.97465469538548
1951-03-01,0,0001,-0.004150328843977496,128.66019416330238
1951-04-01,0,0001,-0.0040837102281319326,122.51130684395797
1951-05-01,0,0001,-0.003480351134015354,107.89088515447598
1951-06-01,0,0001,-0.0030588935410048456,91.76680623014536
1951-07-01,0,0001,-0.0030027280601844348,93.08456986571747
1951-08-01,0,0001,-0.0037772871707987417,117.09590229476099
1951-09-01,0,0001,-0.0049934100782166,149.80230234649798
1951-10-01,0,0001,-0.006084882819669427,188.63136740975222
1951-11-01,0,0001,-0.005012043267035627,150.3612980110688
1951-12-01,0,0001,-0.005718604771925437,177.27674792968855
1952-01-01,0,0001,-0.005423876249753508,168.14016374235874
1952-02-01,0,0001,-0.004754388304418375,137.87726082813288
1952-03-01,0,0001,-0.004193260789715979,129.99108448119534
1952-04-01,0,0001,-0.004408952604748946,132.26857814246839
1952-05-01,0,0001,-0.0036217317071428,112.2736829214268
1952-06-01,0,0001,-0.0031016773480894797,93.0503204426844
1952-07-01,0,0001,-0.002803768740025129,86.91683094077901
1952-08-01,0,0001,-0.0038786684205399675,120.238721036739
1952-09-01,0,0001,-0.004827146318750914,144.8143895625274
1952-10-01,0,0001,-0.005930897331827012,183.85781728663738
1952-11-01,0,0001,-0.005719125993773461,171.57377981320386
1952-12-01,0,0001,-0.00480465210796145,148.94421534680495
1953-01-01,0,0001,-0.004787532221609578,148.4134988698969
1953-02-01,0,0001,-0.004852753753473276,135.87710509725173
1953-03-01,0,0001,-0.004163541616915801,129.06979012438984
1953-04-01,0,0001,-0.0042548789304962,127.64636791488601
1953-05-01,0,0001,-0.0037226529872220263,115.40224260388283
1953-06-01,0,0001,-0.0028751142997502973,86.25342899250892
1953-07-01,0,0001,-0.0032214361327543256,99.8645201153841
1953-08-01,0,0001,-0.0037979319161062022,117.73588939929228
1953-09-01,0,0001,-0.005241514748980853,157.2454424694256
1953-10-01,0,0001,-0.0060467142826302915,187.44814276153903
1953-11-01,0,0001,-0.006408301470626018,192.24904411878055
1953-12-01,0,0001,-0.004894666624147972,151.73466534858713
1954-01-01,0,0001,-0.0052257684449185165,161.99882179247402
1954-02-01,0,0001,-0.004438774822131552,124.28569501968344
1954-03-01,0,0001,-0.004379102788972736,135.75218645815482
1954-04-01,0,0001,-0.004289626253418808,128.68878760256425
1954-05-01,0,0001,-0.003706754102668529,114.9093771827244
1954-06-01,0,0001,-0.002905664271725279,87.16992815175838
1954-07-01,0,0001,-0.002773173720606755,85.96838533880941
1954-08-01,0,0001,-0.003692347187723294,114.46276281942211
1954-09-01,0,0001,-0.004970408318142057,149.11224954426172
1954-10-01,0,0001,-0.005616802592856605,174.12088037855474
1954-11-01,0,0001,-0.005876202443693997,176.28607331081992
1954-12-01,0,0001,-0.0048818887833221615,151.33855228298702
1955-01-01,0,0001,-0.004544589210562205,140.88226552742836
1955-02-01,0,0001,-0.004665149742818101,130.62419279890682
1955-03-01,0,0001,-0.004207956874979379,130.44666312436075
1955-04-01,0,0001,-0.004341457907719728,130.24373723159187
1955-05-01,0,0001,-0.00365143324236446,113.19443051329826
1955-06-01,0,0001,-0.003009448114392902,90.28344343178705
1955-07-01,0,0001,-0.00295635920097343,91.64713523017635
1955-08-01,0,0001,-0.0037648494014103674,116.71033144372139
1955-09-01,0,0001,-0.00499262522344817,149.77875670344508
1955-10-01,0,0001,-0.006209996826039701,192.50990160723072
1955-11-01,0,0001,-0.0065438861618997545,196.31658485699262
1955-12-01,0,0001,-0.00514114739205488,159.3755691537013
1956-01-01,0,0001,-0.004788047308518303,148.42946656406738
1956-02-01,0,0001,-0.005071434382926104,147.071597104857
1956-03-01,0,0001,-0.004673286939857305,144.87189513557647
1956-04-01,0,0001,-0.004523856417020656,135.71569251061968
1956-05-01,0,0001,-0.0036161154766010464,112.09957977463245
1956-06-01,0,0001,-0.0030718163823967273,92.15449147190182
1956-07-01,0,0001,-0.002878275742904782,89.22654803004825
1956-08-01,0,0001,-0.003861280338701115,119.69969049973456
1956-09-01,0,0001,-0.004975383387359026,149.2615016207708
1956-10-01,0,0001,-0.006059846712824937,187.85524809757302
1956-11-01,0,0001,-0.006193954133918358,185.81862401755072
1956-12-01,0,0001,-0.005671387237998605,175.81300437795676
1957-01-01,0,0001,-0.004465650621721556,138.43516927336825
1957-02-01,0,0001,-0.004577586055234922,128.17240954657782
1957-03-01,0,0001,-0.004337598883764598,134.46556539670254
1957-04-01,0,0001,-0.004153637496473485,124.60912489420454
1957-05-01,0,0001,-0.003608564843516104,111.86551014899923
1957-06-01,0,0001,-0.0034478587249058834,103.4357617471765
1957-07-01,0,0001,-0.0033300735539765897,103.23228017327428
1957-08-01,0,0001,-0.003881381226055426,120.3228180077182
1957-09-01,0,0001,-0.005353441839287692,160.60325517863075
1957-10-01,0,0001,-0.006305843095524464,195.48113596125842
1957-11-01,0,0001,-0.006746650556305481,202.39951668916441
1957-12-01,0,0001,-0.005923368875313331,183.62443513471328
1958-01-01,0,0001,-0.005012532075106548,155.38849432830298
1958-02-01,0,0001,-0.00484128240243828,135.55590726827185
1958-03-01,0,0001,-0.0049440627278230665,153.26594456251505
1958-04-01,0,0001,-0.004961293735027273,148.8388120508182
1958-05-01,0,0001,-0.00393882370880537,122.10353497296646
1958-06-01,0,0001,-0.0029720526678043454,89.16158003413037
1958-07-01,0,0001,-0.0031982603736446617,99.1460715829845
1958-08-01,0,0001,-0.003953201247259149,122.54923866503361
1958-09-01,0,0001,-0.005039629624345252,151.18888873035758
1958-10-01,0,0001,-0.0060245224567617795,186.76019615961516
1958-11-01,0,0001,-0.006070756179769664,182.1226853930899
1958-12-01,0,0001,-0.005977505753803932,185.30267836792189
1959-01-01,0,0001,-0.005415372770754524,167.87655589339028
1959-02-01,0,0001,-0.004533302244747906,126.93246285294138
1959-03-01,0,0001,-0.004466939702292158,138.47513077105688
1959-04-01,0,0001,-0.004614187916249904,138.4256374874971
1959-05-01,0,0001,-0.003692498152321826,114.46744272197661
1959-06-01,0,0001,-0.002845461830239695,85.36385490719084
1959-07-01,0,0001,-0.0030433322783595214,94.34330062914516
1959-08-01,0,0001,-0.003961297218838833,122.80021378400383
1959-09-01,0,0001,-0.0050395181645234615,151.18554493570386
1959-10-01,0,0001,-0.006219723041390608,192.81141428310886
1959-11-01,0,0001,-0.006333682570248536,190.01047710745607
1959-12-01,0,0001,-0.005221080169780119,161.8534852631837
1960-01-01,0,0001,-0.0046458406841101705,144.02106120741527
1960-02-01,0,0001,-0.005325172997315858,154.4300169221599
1960-03-01,0,0001,-0.00551206905390781,170.87414067114213
1960-04-01,0,0001,-0.004802630255218734,144.078907656562
1960-05-01,0,0001,-0.003681355737762227,114.12202787062904
1960-06-01,0,0001,-0.002974537707364814,89.23613122094443
1960-07-01,0,0001,-0.0032881516794148577,101.93270206186058
1960-08-01,0,0001,-0.004185318276964802,129.74486658590885
1960-09-01,0,0001,-0.004737423924065492,142.12271772196476
1960-10-01,0,0001,-0.005560785311792623,172.38434466557132
1960-11-01,0,0001,-0.00586711498155481,176.0134494466443
1960-12-01,0,0001,-0.005386649889921727,166.98614658757356
1961-01-01,0,0001,-0.005841843551546696,181.09715009794758
1961-02-01,0,0001,-0.005153810500771602,144.30669402160487
1961-03-01,0,0001,-0.005467385953438254,169.48896455658584
1961-04-01,0,0001,-0.005034567502989055,151.03702508967166
1961-05-01,0,0001,-0.003826533956864567,118.62255266280158
1961-06-01,0,0001,-0.0034064260165887687,102.19278049766307
1961-07-01,0,0001,-0.0031872216073365735,98.80386982743377
1961-08-01,0,0001,-0.0038337799601174225,118.84717876364009
1961-09-01,0,0001,-0.005153024873230076,154.59074619690227
1961-10-01,0,0001,-0.005887654990556197,182.51730470724212
1961-11-01,0,0001,-0.00638291034089618,191.4873102268854
1961-12-01,0,0001,-0.005163842521725048,160.07911817347647
1962-01-01,0,0001,-0.005259450035646605,163.04295110504478
1962-02-01,0,0001,-0.0050212244289322,140.5942840101016
1962-03-01,0,0001,-0.00431663489350219,133.8156816985679
1962-04-01,0,0001,-0.0041466056507904305,124.39816952371291
1962-05-01,0,0001,-0.003512163640433781,108.87707285344722
1962-06-01,0,0001,-0.0029321483066162327,87.96444919848697
1962-07-01,0,0001,-0.003131084943838272,97.06363325898643
1962-08-01,0,0001,-0.0038072216325253923,118.02387060828715
1962-09-01,0,0001,-0.0050329024896788,150.98707469036398
1962-10-01,0,0001,-0.005959291415432458,184.7380338784062
1962-11-01,0,0001,-0.006468384116524187,194.0515234957256
1962-12-01,0,0001,-0.005503770489226199,170.61688516601217
1963-01-01,0,0001,-0.0042013681499566986,130.24241264865765
1963-02-01,0,0001,-0.004427529165499264,123.9708166339794
1963-03-01,0,0001,-0.0045347401055385326,140.57694327169452
1963-04-01,0,0001,-0.003959788559314749,118.79365677944247
1963-05-01,0,0001,-0.0035909882778263702,111.32063661261748
1963-06-01,0,0001,-0.0031612831547000045,94.83849464100014
1963-07-01,0,0001,-0.003074416545523627,95.30691291123244
1963-08-01,0,0001,-0.003969672979733418,123.05986237173597
1963-09-01,0,0001,-0.005286007153347903,158.58021460043707
1963-10-01,0,0001,-0.0060419740067421965,187.3011942090081
1963-11-01,0,0001,-0.006677256082667312,200.31768248001936
1963-12-01,0,0001,-0.005139821744217591,159.33447407074533
1964-01-01,0,0001,-0.005827834641728118,180.66287389357166
1964-02-01,0,0001,-0.004987139830673651,144.62705508953587
1964-03-01,0,0001,-0.004640191984822537,143.84595152949865
1964-04-01,0,0001,-0.004844522038131487,145.3356611439446
