date,t2m_C
1950-01-01,8.882830652570703
1950-02-01,9.600646619108034
1950-03-01,8.69025063031171
1950-04-01,8.464857146559893
1950-05-01,6.355323731320368
1950-06-01,3.5859809778052067
1950-07-01,3.6351925207393947
1950-08-01,5.629244144060976
1950-09-01,7.756952322892005
1950-10-01,8.370401595498606
1950-11-01,9.738077874996009
1950-12-01,9.213856927956954
1951-01-01,8.785604660203205
1951-02-01,8.818127167294165
1951-03-01,8.813236614771142
1951-04-01,6.274974887051883
1951-05-01,5.4864684208424706
1951-06-01,3.832727584981967
1951-07-01,4.580315486999837
1951-08-01,4.972184428789376
1951-09-01,8.288653461031004
1951-10-01,9.920364132370253
1951-11-01,9.88115384582045
1951-12-01,10.054397820656675
1952-01-01,10.936828052175997
1952-02-01,9.607489137552022
1952-03-01,9.14246752885441
1952-04-01,7.874114427921825
1952-05-01,6.188144631724299
1952-06-01,3.7631714462013406
1952-07-01,3.1895597938543574
1952-08-01,5.499424100431895
1952-09-01,7.535274172356537
1952-10-01,8.940263738273643
1952-11-01,10.089321513375978
1952-12-01,8.93747137526583
1953-01-01,9.18048196752892
1953-02-01,9.145020714358736
1953-03-01,9.37952447235972
1953-04-01,7.609093553918683
1953-05-01,4.833595012805631
1953-06-01,3.9211203825053076
1953-07-01,3.489219423980046
1953-08-01,5.990155182202614
1953-09-01,8.706334395436159
1953-10-01,9.97438447731787
1953-11-01,11.211301674571871
1953-12-01,9.555300616355396
1954-01-01,10.238458937745008
1954-02-01,9.158481532131532
1954-03-01,8.632782866053788
1954-04-01,8.198430504705527
1954-05-01,5.363543755619048
1954-06-01,4.390627586279209
1954-07-01,3.00107785812736
1954-08-01,6.498705426198342
1954-09-01,7.374417034858709
1954-10-01,9.0288661488662
1954-11-01,9.952005933218857
1954-12-01,9.025978536257526
1955-01-01,8.773977544132151
1955-02-01,9.006586143056154
1955-03-01,8.827901842096992
1955-04-01,7.527706737672759
1955-05-01,5.557728710710535
1955-06-01,3.4305976038028803
1955-07-01,2.945005288891423
1955-08-01,5.424701072420987
1955-09-01,7.499442272034173
1955-10-01,8.2611738302773
1955-11-01,10.878297075728824
1955-12-01,9.309637213458302
1956-01-01,8.691431400291151
1956-02-01,9.03410519956401
1956-03-01,8.670415623866631
1956-04-01,7.809763301467854
1956-05-01,4.223855528717422
1956-06-01,3.169093330967769
1956-07-01,3.0169031180532784
1956-08-01,4.599110279292063
1956-09-01,7.631122057776736
1956-10-01,9.556588307045274
1956-11-01,9.227101112542641
1956-12-01,9.908765666137867
1957-01-01,8.537492828513791
1957-02-01,8.747908101300595
1957-03-01,8.561587795845242
1957-04-01,7.005701621109893
1957-05-01,6.757831073959437
1957-06-01,4.318356573550716
1957-07-01,3.589621844552994
1957-08-01,5.679929091116662
1957-09-01,6.815657092242418
1957-10-01,10.664892120755042
1957-11-01,10.81354641381256
1957-12-01,11.27962182924233
1958-01-01,9.833594585465391
1958-02-01,10.011493413047504
1958-03-01,9.267172035084059
1958-04-01,8.455781024750365
1958-05-01,6.1704187617696675
1958-06-01,5.7166390075847175
1958-07-01,4.370312833393427
1958-08-01,5.49296167782984
1958-09-01,7.634585717396305
1958-10-01,9.659022975100015
1958-11-01,10.286013890719119
1958-12-01,10.2066179381481
1959-01-01,10.018469558887205
1959-02-01,9.423483627679104
1959-03-01,8.622026063966416
1959-04-01,8.716476112297187
1959-05-01,5.9309206870754565
1959-06-01,4.745536847699611
1959-07-01,5.054474672246613
1959-08-01,5.585263224608809
1959-09-01,7.922783184068749
1959-10-01,10.181998851436617
1959-11-01,11.061711406624795
1959-12-01,10.396876068306653
1960-01-01,9.60867960673312
1960-02-01,9.422452340983455
1960-03-01,9.389054312920337
1960-04-01,9.100805058195476
1960-05-01,5.579295652143685
1960-06-01,4.163203757347958
1960-07-01,5.082358674718705
1960-08-01,5.597914858978129
1960-09-01,7.896673502804276
1960-10-01,8.610393613284486
1960-11-01,10.675110330916482
1960-12-01,9.489581078767515
1961-01-01,11.098780798242558
1961-02-01,9.629178861046285
1961-03-01,10.273998037455726
1961-04-01,8.980294970421824
1961-05-01,7.7679955929610855
1961-06-01,5.427395048558935
1961-07-01,4.562198862946673
1961-08-01,6.002119540363196
1961-09-01,8.291907640493775
1961-10-01,9.677138504322784
1961-11-01,11.052652691042965
1961-12-01,10.133777626626852
1962-01-01,9.714274834130663
1962-02-01,9.644549855487412
1962-03-01,8.353352567360503
1962-04-01,7.266401341686219
1962-05-01,5.734128419822355
1962-06-01,3.703781294889893
1962-07-01,3.6544620440230915
1962-08-01,5.020013268473235
1962-09-01,8.237161326321313
1962-10-01,9.092473062127283
1962-11-01,10.171950238952434
1962-12-01,10.394986632112307
1963-01-01,8.98498662591362
1963-02-01,8.747485658986875
1963-03-01,8.896155016108025
1963-04-01,7.550612575988055
1963-05-01,6.802503012135162
1963-06-01,4.704292353601261
1963-07-01,5.386086829283045
1963-08-01,6.919575064936964
1963-09-01,7.3018985105795196
1963-10-01,9.89281777049581
1963-11-01,11.163389743467292
1963-12-01,10.056905963213012
1964-01-01,10.204822555777412
1964-02-01,10.575158470250756
1964-03-01,9.29670338081462
1964-04-01,9.234032497633791
1964-05-01,6.118353224742123
1964-06-01,4.655635745135726
1964-07-01,3.6807238066251102
1964-08-01,4.890027977254817
1964-09-01,7.117716088695431
1964-10-01,8.81749568575276
1964-11-01,9.462009868429448
1964-12-01,10.123847744425575
1965-01-01,8.90923369960501
1965-02-01,9.165957998346869
1965-03-01,8.068666447812234
1965-04-01,8.546828860412006
1965-05-01,6.556347724381737
1965-06-01,5.070011380229801
1965-07-01,4.089753103926228
1965-08-01,6.0751786582144405
1965-09-01,6.125052154440084
1965-10-01,10.141994694403877
1965-11-01,11.123764680621377
1965-12-01,11.228707321736636
1966-01-01,11.107212543092885
1966-02-01,11.036229285090371
1966-03-01,10.665410880591594
1966-04-01,9.345829913807279
1966-05-01,5.358902199666602
1966-06-01,4.31873346804781
