valid_time,number,expver,e,e_mm
1940-01-01 06:00:00,0,0001,-0.003337685588937537,103.46825325706365
1940-02-01 06:00:00,0,0001,-0.0035840293473165716,103.93685107218057
1940-03-01 06:00:00,0,0001,-0.0031895765508481886,98.87687307629385
1940-04-01 06:00:00,0,0001,-0.002723838270843575,81.71514812530725
1940-05-01 06:00:00,0,0001,-0.001411651685411361,43.761202247752195
1940-06-01 06:00:00,0,0001,-0.0007520326756209459,22.560980268628377
1940-07-01 06:00:00,0,0001,-0.0006485707381133647,20.105692881514308
1940-08-01 06:00:00,0,0001,-0.0008887432422388505,27.551040509404366
1940-09-01 06:00:00,0,0001,-0.0010405545123560757,31.216635370682273
1940-10-01 06:00:00,0,0001,-0.0013391928884948247,41.51497954333957
1940-11-01 06:00:00,0,0001,-0.0013204259709237724,39.612779127713175
1940-12-01 06:00:00,0,0001,-0.0031910678155059385,98.9231022806841
1941-01-01 06:00:00,0,0001,-0.003656689468697042,113.3573735296083
1941-02-01 06:00:00,0,0001,-0.0038772299355111337,108.56243819431174
1941-03-01 06:00:00,0,0001,-0.00328103119749634,101.71196712238653
1941-04-01 06:00:00,0,0001,-0.0020166651499460273,60.499954498380816
1941-05-01 06:00:00,0,0001,-0.001706053828519775,52.88766868411303
1941-06-01 06:00:00,0,0001,-0.0012192560713326379,36.57768213997914
1941-07-01 06:00:00,0,0001,-0.001341747559956589,41.59417435865426
1941-08-01 06:00:00,0,0001,-0.001340840366855579,41.56605137252295
1941-09-01 06:00:00,0,0001,-0.0015860376111831644,47.58112833549493
1941-10-01 06:00:00,0,0001,-0.0022748931264701313,70.52168692057407
1941-11-01 06:00:00,0,0001,-0.0025936126152792094,77.80837845837628
1941-12-01 06:00:00,0,0001,-0.0034773371812814057,107.79745261972359
1942-01-01 06:00:00,0,0001,-0.0033617205805144823,104.21333799594895
1942-02-01 06:00:00,0,0001,-0.003324902291600214,93.09726416480599
1942-03-01 06:00:00,0,0001,-0.0031109151735450925,96.43837037989788
1942-04-01 06:00:00,0,0001,-0.002690774621864081,80.72323865592243
1942-05-01 06:00:00,0,0001,-0.0018181846970581497,56.363725608802646
1942-06-01 06:00:00,0,0001,-0.0008031988931300473,24.09596679390142
1942-07-01 06:00:00,0,0001,-0.000717713716202403,22.24912520227449
1942-08-01 06:00:00,0,0001,-0.001183110479805375,36.67642487396662
1942-09-01 06:00:00,0,0001,-0.0014136489492720032,42.40946847816009
1942-10-01 06:00:00,0,0001,-0.0016310638364417545,50.562978929694395
1942-11-01 06:00:00,0,0001,-0.00267832808668874,80.3498426006622
1942-12-01 06:00:00,0,0001,-0.00359197848424497,111.35133301159406
1943-01-01 06:00:00,0,0001,-0.003668830059580691,113.73373184700144
1943-02-01 06:00:00,0,0001,-0.0035250877013288727,98.70245563720843
1943-03-01 06:00:00,0,0001,-0.003298129264945675,102.24200721331593
1943-04-01 06:00:00,0,0001,-0.0022370000634453512,67.11000190336054
1943-05-01 06:00:00,0,0001,-0.001116605386442518,34.61476697971806
1943-06-01 06:00:00,0,0001,-0.0006527678006566725,19.583034019700175
1943-07-01 06:00:00,0,0001,-0.0009154788486497355,28.379844308141802
1943-08-01 06:00:00,0,0001,-0.0008708574884312869,26.996582141369892
1943-09-01 06:00:00,0,0001,-0.0017010079058931763,51.03023717679529
1943-10-01 06:00:00,0,0001,-0.0020299620536503287,62.92882366316019
1943-11-01 06:00:00,0,0001,-0.0028397921997198885,85.19376599159666
1943-12-01 06:00:00,0,0001,-0.0035754742742025994,110.83970250028058
1944-01-01 06:00:00,0,0001,-0.0034571468388345356,107.1715520038706
1944-02-01 06:00:00,0,0001,-0.003671683619160101,106.47882495564292
1944-03-01 06:00:00,0,0001,-0.0033703985623532774,104.4823554329516
1944-04-01 06:00:00,0,0001,-0.002507702352135471,75.23107056406413
1944-05-01 06:00:00,0,0001,-0.0015577224146068917,48.289394852813636
1944-06-01 06:00:00,0,0001,-0.0006819895983837126,20.459687951511377
1944-07-01 06:00:00,0,0001,-0.0006154709950107288,19.079600845332592
1944-08-01 06:00:00,0,0001,-0.0009858348648629886,30.560880810752646
1944-09-01 06:00:00,0,0001,-0.0014243214168604367,42.729642505813096
