valid_time,number,expver,tp,tp_mm
1950-01-01,0,0001,0.0034476450128875956,106.87699539951547
1950-02-01,0,0001,0.004238715449337576,118.68403258145213
1950-03-01,0,0001,0.003132555506808254,97.10922071105588
1950-04-01,0,0001,0.0009106061045514927,27.318183136544782
1950-05-01,0,0001,0.00037779625665292733,11.711683956240746
1950-06-01,0,0001,1.2186629916897645e-05,0.36559889750692937
1950-07-01,0,0001,0.00012928405210359552,4.007805615211462
1950-08-01,0,0001,4.7867043715498975e-05,1.4838783551804682
1950-09-01,0,0001,0.0004767206918463015,14.301620755389045
1950-10-01,0,0001,0.001968618281271028,61.02716671940186
1950-11-01,0,0001,0.0031350047162129854,94.05014148638956
1950-12-01,0,0001,0.004491954256083241,139.25058193858047
1951-01-01,0,0001,0.004824821244809984,149.5694585891095
1951-02-01,0,0001,0.0074756297139424,209.31763199038718
1951-03-01,0,0001,0.005232371058961559,162.2035028278083
1951-04-01,0,0001,0.0013118342514379475,39.355027543138426
1951-05-01,0,0001,6.87563521555896e-05,2.1314469168232777
1951-06-01,0,0001,8.23408910214286e-05,2.4702267306428576
1951-07-01,0,0001,1.3159204877412945e-05,0.4079353511998013
1951-08-01,0,0001,3.5211252085070183e-05,1.0915488146371757
1951-09-01,0,0001,9.289038338942395e-05,2.786711501682719
1951-10-01,0,0001,0.0007178351201958681,22.252888726071912
1951-11-01,0,0001,0.005644008844766167,169.320265342985
1951-12-01,0,0001,0.002527000840337167,78.3370260504522
1952-01-01,0,0001,0.006405293740999471,198.5641059709836
1952-02-01,0,0001,0.005915840358856329,171.55937040683352
1952-03-01,0,0001,0.006123345682377441,189.82371615370067
1952-04-01,0,0001,0.0002319332971976188,6.957998915928565
1952-05-01,0,0001,6.930729988276267e-05,2.148526296365643
1952-06-01,0,0001,0.0005280637588872563,15.841912766617689
1952-07-01,0,0001,4.643932409274916e-06,0.1439619046875224
1952-08-01,0,0001,0.0005140920048280792,15.936852149670454
1952-09-01,0,0001,0.0006381610504131807,19.144831512395424
1952-10-01,0,0001,0.0007764162101096432,24.06890251339894
1952-11-01,0,0001,0.0034076656825338513,102.22997047601554
1952-12-01,0,0001,0.006263796819857126,194.1777014155709
1953-01-01,0,0001,0.006829193412533983,211.70499578855348
1953-02-01,0,0001,0.006248646553518755,174.96210349852515
1953-03-01,0,0001,0.005694127580746965,176.5179550031559
1953-04-01,0,0001,0.0009574513310533067,28.723539931599202
1953-05-01,0,0001,0.00012232380344803995,3.7920379068892385
1953-06-01,0,0001,0.00016315137175831177,4.894541152749353
1953-07-01,0,0001,0.00012982742581891222,4.024650200386279
1953-08-01,0,0001,0.00021996695988369026,6.818975756394398
1953-09-01,0,0001,7.228253011145244e-05,2.168475903343573
1953-10-01,0,0001,0.00046136446522201366,14.302298421882423
1953-11-01,0,0001,0.0013184079782980957,39.55223934894287
1953-12-01,0,0001,0.007303229444567747,226.40011278160017
1954-01-01,0,0001,0.004436815163966966,137.54127008297596
1954-02-01,0,0001,0.00886089657564635,248.1051041180978
1954-03-01,0,0001,0.003987303028790609,123.60639389250888
1954-04-01,0,0001,0.0005704889255880302,17.114667767640906
1954-05-01,0,0001,0.00010229495521740525,3.171143611739563
1954-06-01,0,0001,3.166858324451346e-05,0.9500574973354038
